Godot Engine v4.6.3.stable.mono.official.7d41c59c4 - https://godotengine.org
[TIMING ] wwise_callback=beat  position_beats=126.974  error_ms=2.000
[TIMING ] wwise_callback=grid  position_beats=126.974  error_ms=2.000
[AUDIO  ] arrangement=transition  section=loop  requested_at=128.004
[TIMING ] wwise_segment=wrapped  segment_ms=14769.000  elapsed_ms=59076.000
[TIMING ] wwise_callback=beat  position_beats=128.963  error_ms=0.000
[TIMING ] wwise_callback=grid  position_beats=128.963  error_ms=0.000
[TIMING ] wwise_callback=beat  position_beats=129.990  error_ms=6.000
[TIMING ] wwise_callback=grid  position_beats=129.990  error_ms=6.000
[TIMING ] wwise_callback=beat  position_beats=130.994  error_ms=1.000
[TIMING ] wwise_callback=grid  position_beats=130.994  error_ms=1.000
[TIMING ] wwise_callback=bar  position_beats=131.962  error_ms=0.000
[TIMING ] wwise_callback=beat  position_beats=131.962  error_ms=0.000
[TIMING ] wwise_callback=grid  position_beats=131.962  error_ms=0.000
[TIMING ] wwise_callback=beat  position_beats=132.991  error_ms=6.000
[TIMING ] wwise_callback=grid  position_beats=132.991  error_ms=6.000
[TIMING ] wwise_callback=beat  position_beats=134.005  error_ms=5.000
[TIMING ] wwise_callback=grid  position_beats=134.005  error_ms=5.000
[TIMING ] wwise_callback=beat  position_beats=134.974  error_ms=4.000
[TIMING ] wwise_callback=grid  position_beats=134.974  error_ms=4.000
[TIMING ] wwise_callback=bar  position_beats=135.990  error_ms=3.000
[TIMING ] wwise_callback=beat  position_beats=135.990  error_ms=3.000
[TIMING ] wwise_callback=grid  position_beats=135.990  error_ms=3.000
[TIMING ] wwise_callback=beat  position_beats=136.958  error_ms=2.000
[TIMING ] wwise_callback=grid  position_beats=136.958  error_ms=2.000
[TIMING ] wwise_callback=beat  position_beats=137.977  error_ms=1.000
[TIMING ] wwise_callback=grid  position_beats=137.977  error_ms=1.000
[TIMING ] wwise_callback=beat  position_beats=138.995  error_ms=1.000
[TIMING ] wwise_callback=grid  position_beats=138.995  error_ms=1.000
[TIMING ] wwise_callback=bar  position_beats=139.964  error_ms=3.000
[TIMING ] wwise_callback=beat  position_beats=139.964  error_ms=3.000
[TIMING ] wwise_callback=grid  position_beats=139.964  error_ms=3.000
[TIMING ] wwise_callback=beat  position_beats=140.980  error_ms=2.000
[TIMING ] wwise_callback=grid  position_beats=140.980  error_ms=2.000
[TIMING ] wwise_callback=beat  position_beats=141.994  error_ms=1.000
[TIMING ] wwise_callback=grid  position_beats=141.994  error_ms=1.000
[TIMING ] wwise_callback=beat  position_beats=142.962  error_ms=0.000
[TIMING ] wwise_callback=grid  position_beats=142.962  error_ms=0.000
[TIMING ] wwise_callback=bar  position_beats=143.991  error_ms=6.000
[TIMING ] wwise_callback=beat  position_beats=143.991  error_ms=6.000
[TIMING ] wwise_callback=grid  position_beats=143.991  error_ms=6.000
[AUDIO  ] arrangement=layer  enabled=true  requested_at=144.007
[TIMING ] wwise_callback=beat  position_beats=145.007  error_ms=5.000
[TIMING ] wwise_callback=grid  position_beats=145.007  error_ms=5.000
[TIMING ] wwise_callback=beat  position_beats=145.976  error_ms=4.000
[TIMING ] wwise_callback=grid  position_beats=145.976  error_ms=4.000
[TIMING ] wwise_callback=beat  position_beats=146.994  error_ms=3.000
[TIMING ] wwise_callback=grid  position_beats=146.994  error_ms=3.000
[TIMING ] wwise_callback=bar  position_beats=147.965  error_ms=5.000
[TIMING ] wwise_callback=beat  position_beats=147.965  error_ms=5.000
[TIMING ] wwise_callback=grid  position_beats=147.965  error_ms=5.000
[TIMING ] wwise_callback=beat  position_beats=148.979  error_ms=4.000
[TIMING ] wwise_callback=grid  position_beats=148.979  error_ms=4.000
[TIMING ] wwise_callback=beat  position_beats=149.995  error_ms=3.000
[TIMING ] wwise_callback=grid  position_beats=149.995  error_ms=3.000
[TIMING ] wwise_callback=beat  position_beats=150.964  error_ms=2.000
[TIMING ] wwise_callback=grid  position_beats=150.964  error_ms=2.000
[TIMING ] wwise_callback=bar  position_beats=151.978  error_ms=1.000
[TIMING ] wwise_callback=beat  position_beats=151.978  error_ms=1.000
[TIMING ] wwise_callback=grid  position_beats=151.978  error_ms=1.000
[TIMING ] wwise_callback=beat  position_beats=152.992  error_ms=0.000
[TIMING ] wwise_callback=grid  position_beats=152.992  error_ms=0.000
[TIMING ] wwise_callback=beat  position_beats=153.973  error_ms=5.000
[TIMING ] wwise_callback=grid  position_beats=153.973  error_ms=5.000
[TIMING ] wwise_callback=beat  position_beats=154.983  error_ms=1.000
[TIMING ] wwise_callback=grid  position_beats=154.983  error_ms=1.000
[TIMING ] wwise_callback=bar  position_beats=156.001  error_ms=0.000
[TIMING ] wwise_callback=beat  position_beats=156.001  error_ms=0.000
[TIMING ] wwise_callback=grid  position_beats=156.001  error_ms=0.000
[TIMING ] wwise_callback=beat  position_beats=156.972  error_ms=2.000
[TIMING ] wwise_callback=grid  position_beats=156.972  error_ms=2.000
[TIMING ] wwise_callback=beat  position_beats=157.986  error_ms=1.000
[TIMING ] wwise_callback=grid  position_beats=157.986  error_ms=1.000
[TIMING ] wwise_callback=beat  position_beats=158.967  error_ms=6.000
[TIMING ] wwise_callback=grid  position_beats=158.967  error_ms=6.000
[AUDIO  ] arrangement=transition  section=alternate  requested_at=160.001
[TIMING ] wwise_segment=wrapped  segment_ms=14769.000  elapsed_ms=73845.000
[TIMING ] wwise_callback=beat  position_beats=161.000  error_ms=5.000
[TIMING ] wwise_callback=grid  position_beats=161.000  error_ms=5.000
[TIMING ] wwise_callback=beat  position_beats=161.998  error_ms=18.000
[TIMING ] wwise_callback=grid  position_beats=161.998  error_ms=18.000
[TIMING ] wwise_callback=beat  position_beats=162.982  error_ms=3.000
[TIMING ] wwise_callback=grid  position_beats=162.982  error_ms=3.000
[TIMING ] wwise_callback=bar  position_beats=164.000  error_ms=3.000
[TIMING ] wwise_callback=beat  position_beats=164.000  error_ms=3.000
[TIMING ] wwise_callback=grid  position_beats=164.000  error_ms=3.000
[TIMING ] wwise_callback=beat  position_beats=164.973  error_ms=4.000
[TIMING ] wwise_callback=grid  position_beats=164.973  error_ms=4.000
[TIMING ] wwise_callback=beat  position_beats=165.987  error_ms=3.000
[TIMING ] wwise_callback=grid  position_beats=165.987  error_ms=3.000
[TIMING ] wwise_callback=beat  position_beats=166.956  error_ms=2.000
[TIMING ] wwise_callback=grid  position_beats=166.956  error_ms=2.000
[TIMING ] wwise_callback=bar  position_beats=167.970  error_ms=1.000
[TIMING ] wwise_callback=beat  position_beats=167.970  error_ms=1.000
[TIMING ] wwise_callback=grid  position_beats=167.970  error_ms=1.000
[TIMING ] wwise_callback=beat  position_beats=168.986  error_ms=0.000
[TIMING ] wwise_callback=grid  position_beats=168.986  error_ms=0.000
[TIMING ] wwise_callback=beat  position_beats=169.967  error_ms=5.000
[TIMING ] wwise_callback=grid  position_beats=169.967  error_ms=5.000
[TIMING ] wwise_callback=beat  position_beats=170.981  error_ms=4.000
