Godot Engine v4.6.3.stable.mono.official.7d41c59c4 - https://godotengine.org
[TIMING ] wwise_segment=wrapped  segment_ms=14769.000  elapsed_ms=44307.000
[TIMING ] wwise_callback=beat  position_beats=96.986  error_ms=6.000
[TIMING ] wwise_callback=grid  position_beats=96.986  error_ms=6.000
[TIMING ] wwise_callback=beat  position_beats=98.000  error_ms=5.000
[TIMING ] wwise_callback=grid  position_beats=98.000  error_ms=5.000
[TIMING ] wwise_callback=beat  position_beats=98.968  error_ms=4.000
[TIMING ] wwise_callback=grid  position_beats=98.968  error_ms=4.000
[TIMING ] wwise_callback=bar  position_beats=99.976  error_ms=0.000
[TIMING ] wwise_callback=beat  position_beats=99.976  error_ms=0.000
[TIMING ] wwise_callback=grid  position_beats=99.976  error_ms=0.000
[TIMING ] wwise_callback=beat  position_beats=100.998  error_ms=2.000
[TIMING ] wwise_callback=grid  position_beats=100.998  error_ms=2.000
[TIMING ] wwise_callback=beat  position_beats=101.967  error_ms=1.000
[TIMING ] wwise_callback=grid  position_beats=101.967  error_ms=1.000
[TIMING ] wwise_callback=beat  position_beats=102.981  error_ms=0.000
[TIMING ] wwise_callback=grid  position_beats=102.981  error_ms=0.000
[TIMING ] wwise_callback=bar  position_beats=104.014  error_ms=6.000
[TIMING ] wwise_callback=beat  position_beats=104.014  error_ms=6.000
[TIMING ] wwise_callback=grid  position_beats=104.014  error_ms=6.000
[TIMING ] wwise_callback=beat  position_beats=104.970  error_ms=1.000
[TIMING ] wwise_callback=grid  position_beats=104.970  error_ms=1.000
[TIMING ] wwise_callback=beat  position_beats=105.986  error_ms=0.000
[TIMING ] wwise_callback=grid  position_beats=105.986  error_ms=0.000
[TIMING ] wwise_callback=beat  position_beats=106.968  error_ms=5.000
[TIMING ] wwise_callback=grid  position_beats=106.968  error_ms=5.000
[TIMING ] wwise_callback=bar  position_beats=107.982  error_ms=4.000
[TIMING ] wwise_callback=beat  position_beats=107.982  error_ms=4.000
[TIMING ] wwise_callback=grid  position_beats=107.982  error_ms=4.000
[TIMING ] wwise_callback=beat  position_beats=108.998  error_ms=4.000
[TIMING ] wwise_callback=grid  position_beats=108.998  error_ms=4.000
[TIMING ] wwise_callback=beat  position_beats=109.964  error_ms=2.000
